,,accuracy,accuracy,Loss,Loss
,,pH,crop,pH,crop
method,fold,,,,
M,fold1,0.6458450555801392,0.6666666666666666,0.1481950730085373,0.6305485937064884
S,fold1,0.7122236490249634,,0.12041915208101273,
R,fold1,-35.742446025299316,,15.374765800352625,
X,fold1,-35.355892181396484,,15.213014602661133,
S,fold1,-35.57844028977399,,15.306138094622847,
S,fold1,,0.75,,0.6466931216931217
R,fold1,,0.7,,0.6118012422360248
X,fold1,,0.7833333333333333,,0.7361463932892504
S,fold1,,0.7166666666666667,,0.5702380952380952
M,fold2,0.5925709009170532,0.85,0.15655727684497833,0.8388528138528137
S,fold2,0.5520340204238892,,0.17213386297225952,
R,fold2,-41.342493419283336,,16.27037862416854,
X,fold2,-41.86612319946289,,16.471586227416992,
S,fold2,-41.2578145792661,,16.237840228876298,
S,fold2,,0.8166666666666667,,0.7489488772097469
R,fold2,,0.8166666666666667,,0.7544385886222622
X,fold2,,0.75,,0.7056180767464609
S,fold2,,0.7833333333333333,,0.6066849816849818
M,fold3,0.6660885810852051,0.7333333333333333,0.12438542395830154,0.48866550116550117
S,fold3,0.5230779051780701,,0.17765837907791138,
R,fold3,-45.72555756635158,,17.40575232800267,
X,fold3,-45.652862548828125,,17.37866973876953,
S,fold3,-45.90273175649345,,17.471751541990535,
S,fold3,,0.75,,0.5727634303149177
R,fold3,,0.7833333333333333,,0.5727061556329849
X,fold3,,0.8666666666666667,,0.8238163300663301
S,fold3,,0.8,,0.5005411255411255
M,fold4,0.7454783916473389,0.7833333333333333,0.0890437662601471,0.5654690916318823
S,fold4,0.8384708762168884,,0.05651058629155159,
R,fold4,-54.184921771818175,,19.306313556744858,
X,fold4,-54.02666473388672,,19.250947952270508,
S,fold4,-53.92719093646212,,19.216147037324934,
S,fold4,,0.7333333333333333,,0.6473701675792268
R,fold4,,0.7833333333333333,,0.6420989862850328
X,fold4,,0.8,,0.6006106321839081
S,fold4,,0.7833333333333333,,0.5354944796805262
M,fold5,0.47870999574661255,0.576271186440678,0.2987494468688965,0.40494227994227994
S,fold5,0.49538058042526245,,0.28919559717178345,
R,fold5,-26.00071760516182,,15.47401387139571,
X,fold5,-26.2779483795166,,15.632895469665527,
S,fold5,-25.76024215038052,,15.336198255624645,
S,fold5,,0.711864406779661,,0.44172967953455755
R,fold5,,0.7796610169491526,,0.48573012353500156
X,fold5,,0.847457627118644,,0.6847639149468417
S,fold5,,0.8135593220338984,,0.5022321428571428
