,,accuracy,accuracy,Loss,Loss
,,pH,pref,pH,pref
method,fold,,,,
M,fold1,0.7215458154678345,0.85,0.11651833355426788,0.8010912131195149
S,fold1,0.6737931966781616,,0.1365002542734146,
R,fold1,-35.71264363613091,,15.362295080427236,
X,fold1,-35.355892181396484,,15.213014602661133,
S,fold1,-35.57844028977399,,15.306138094622847,
S,fold1,,0.8666666666666667,,0.8498348873348874
R,fold1,,0.8166666666666667,,0.7680194805194804
X,fold1,,0.8833333333333333,,0.7994200244200244
S,fold1,,0.7166666666666667,,0.49360670194003525
M,fold2,0.6197824478149414,0.85,0.14610107243061066,0.8458882783882783
S,fold2,0.5798372030258179,,0.1614503115415573,
R,fold2,-41.28585672497166,,16.248615605837347,
X,fold2,-41.86612319946289,,16.471586227416992,
S,fold2,-41.2578145792661,,16.237840228876298,
S,fold2,,0.8333333333333334,,0.7647402597402597
R,fold2,,0.8166666666666667,,0.7352255043431514
X,fold2,,0.8,,0.7387110904968047
S,fold2,,0.7,,0.44412249176400115
M,fold3,0.5859822630882263,0.8666666666666667,0.15422585606575012,0.8575681893863712
S,fold3,0.5714647173881531,,0.1596338003873825,
R,fold3,-45.77188591342437,,17.42301011532323,
X,fold3,-45.652862548828125,,17.37866973876953,
S,fold3,-45.90273175649345,,17.471751541990535,
S,fold3,,0.7666666666666667,,0.6098219961856326
R,fold3,,0.75,,0.6991519074667634
X,fold3,,0.7833333333333333,,0.6268781723327178
S,fold3,,0.7166666666666667,,0.5485696122059758
M,fold4,0.8059177398681641,0.8333333333333334,0.06789921224117279,0.8153003613369467
S,fold4,0.7141013145446777,,0.10002098232507706,
R,fold4,-54.5095069527584,,19.41986890987222,
X,fold4,-54.02666473388672,,19.250947952270508,
S,fold4,-53.92719093646212,,19.216147037324934,
S,fold4,,0.8166666666666667,,0.783065208065208
R,fold4,,0.8,,0.769178427715013
X,fold4,,0.8333333333333334,,0.7837092731829575
S,fold4,,0.6333333333333333,,0.41746344879415176
M,fold5,0.465742290019989,0.7288135593220338,0.3061812222003937,0.5969576719576719
S,fold5,0.48498284816741943,,0.29515451192855835,
R,fold5,-26.026854270466412,,15.488992700010176,
X,fold5,-26.2779483795166,,15.632895469665527,
S,fold5,-25.76024215038052,,15.336198255624645,
S,fold5,,0.7966101694915254,,0.759968734968735
R,fold5,,0.6610169491525424,,0.5971560846560847
X,fold5,,0.7457627118644068,,0.7287006974506974
S,fold5,,0.7288135593220338,,0.5847703222703222
